cellId,flooded,permWater,clearPerc,eventId,dfoMainCause,dfoSeverity,elevationM,slopeDegrees,flowAccumulation,topographicWetnessIndex,landCoverClass,imperviousPct,distanceToWaterM,distanceToRoadM,femaSfha,relativeElevationZ
cell-023-021,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,1.2839359045028687,14.444988250732422,2.0,2.4168986298429838,11,0,0.0,0.0,True,-0.8
cell-023-022,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,-0.9279927015304565,0.3339427709579468,21.0,7.236987765045779,22,21,0.0,15.39825070725213,True,-0.942
cell-023-023,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.4022796154022217,1.1946550607681274,5.0,5.27025855631805,21,8,0.8437509598443284,0.0,True,-0.728
cell-023-024,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.6515021324157715,2.831907272338867,1.0,3.515491150241432,22,28,28.652887460775673,0.0,True,-0.518
cell-023-025,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.55301570892334,2.1350748538970947,6.0,4.997549560946758,21,8,61.06324990797488,26.820872808931703,False,-0.46
cell-023-026,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,8.786304473876953,1.0376619100570679,1.0,4.264684730936786,21,19,152.83735315268487,0.0,False,-0.316
cell-023-027,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,7.8912529945373535,0.5239405632019043,10.0,6.353622355243095,21,17,202.67181462517067,0.0,False,-0.374
cell-023-028,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,7.946514129638672,1.0374845266342163,1.0,4.264794855477017,23,63,111.34085423317703,0.0,False,-0.371
cell-023-029,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.331888198852539,0.8150839805603027,1.0,4.413440557056057,22,36,11.494394873051355,0.0,True,-0.475
cell-024-011,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.755897283554077,0.9330951571464539,7.0,5.7181214261385565,23,71,0.0,0.0,True,-0.705
cell-024-012,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.8186423778533936,1.2309359312057495,2.0,4.556786795546127,24,100,0.0,0.0,True,-0.636
cell-024-013,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.6114790439605713,0.7548604607582092,2.0,4.863269134455517,21,7,3.135693345918153,0.0,True,-0.65
cell-024-014,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.2940728664398193,0.17602591216564178,1.0,5.0304114777688875,21,6,0.0,1.4037990888824208,True,-0.67
cell-024-015,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.5126307010650635,3.157095432281494,3.0,4.117241493768961,21,13,37.05574862398057,0.0,True,-0.656
cell-024-016,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,4.015291213989258,3.5680158138275146,2.0,3.72479348179798,21,1,0.0,0.0,True,-0.624
cell-024-017,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,1.5505563020706177,5.054360866546631,1.0,3.011406655379243,21,15,0.0,0.0,True,-0.782
cell-024-018,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,1.5454107522964478,6.751767158508301,8.0,4.249914551248849,21,12,0.5769958337768912,0.0,True,-0.783
cell-024-019,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.8114205598831177,2.887873411178589,1.0,3.4991583150517216,23,52,0.0,0.0,True,-0.83
cell-024-020,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.992790222167969,8.594172477722168,8.0,4.022757474959819,22,34,24.66119675221853,0.0,True,-0.496
cell-024-021,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,4.935135364532471,7.254492282867432,5.0,3.777377369900543,23,74,10.912096494831433,0.0,True,-0.564
cell-024-022,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,4.548548698425293,2.415193796157837,2.0,4.0517052769517345,22,31,0.0,0.0,True,-0.589
cell-024-023,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,2.3279170989990234,0.27719154953956604,3.0,5.596862022651896,21,14,0.8530544864500467,36.10454703986743,True,-0.732
cell-024-024,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.023879051208496,5.416502475738525,10.0,4.653420974044908,22,32,100.84382923077504,0.0,True,-0.494
cell-024-025,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,7.877121925354004,2.0453615188598633,12.0,5.650311810028076,22,36,145.6377761001843,0.0,False,-0.375
cell-024-026,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,7.98309326171875,0.9763802886009216,29.0,7.011535563205977,22,22,202.16170773899518,0.0,False,-0.368
cell-024-027,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.951130390167236,1.2271175384521484,5.0,5.25205375690604,23,52,232.51609955042787,0.0,False,-0.435
cell-024-028,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.5228800773620605,0.26133114099502563,2.0,5.328012575871592,22,47,144.90518112957486,0.0,False,-0.462
cell-024-029,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.944671154022217,1.9602872133255005,2.0,4.2170362253017135,23,54,60.97195845448792,0.0,False,-0.435
cell-025-010,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.708659648895264,2.5268726348876953,7.0,4.995792378341969,23,75,76.29136808256328,0.0,False,-0.45
cell-025-011,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.199642181396484,3.87392258644104,3.0,3.940989533418746,23,77,58.41637281887233,0.0,True,-0.547
cell-025-012,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.575166702270508,0.04095130041241646,1.0,5.22928257152287,24,86,64.10406421837423,0.0,True,-0.652
cell-025-013,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.465374231338501,0.4419086277484894,1.0,4.72660851232325,24,80,30.468718205345795,0.0,True,-0.659
cell-025-014,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,1.0304780006408691,4.9845380783081055,11.0,4.81571900733245,22,25,0.0,0.0,True,-0.816
cell-025-015,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.684743404388428,3.7870125770568848,2.0,3.6731077854821508,21,6,26.258345252019353,0.0,True,-0.516
cell-025-016,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,4.875091075897217,2.055117607116699,1.0,3.7747868366156156,21,1,24.6657319976673,0.0,True,-0.568
cell-025-017,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.592707633972168,4.897648811340332,8.0,4.543877532801204,21,10,23.929711682721972,0.0,True,-0.522
cell-025-018,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,1.3394213914871216,6.578855991363525,9.0,4.379390104449864,22,25,39.090158202767455,0.0,True,-0.796
cell-025-019,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.23480983078479767,0.523627519607544,1.0,4.649159760743305,21,4,0.0,0.0,True,-0.867
cell-025-020,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.037291593849658966,0.04931407421827316,4.0,6.132043093522518,21,12,18.5726633007871,0.0,True,-0.88
cell-025-021,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.233949661254883,0.5379226803779602,1.0,4.6362069507280665,22,26,100.67838767349791,0.0,True,-0.545
cell-025-022,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.3757848739624023,1.8116639852523804,3.0,4.5652275080452265,22,41,73.93462718743831,0.0,True,-0.665
cell-025-023,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.5141706466674805,1.7185680866241455,1.0,3.9119312035879488,22,20,80.197014941947,0.0,True,-0.656
cell-025-024,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,7.022148609161377,3.2663700580596924,1.0,3.3951543916272695,22,33,136.9532637909457,0.0,True,-0.43
cell-025-025,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,7.394805908203125,1.641291618347168,2.0,4.351723002446186,21,16,224.41781525146084,0.0,False,-0.406
cell-025-026,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.571305274963379,0.3571659028530121,4.0,5.7300975895250525,21,6,279.96331122698075,0.0,False,-0.459
cell-025-027,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.369251728057861,0.4762108623981476,2.0,5.0988307326252045,21,15,283.3875302726848,0.0,False,-0.472
cell-025-028,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.584524631500244,1.61849844455719,2.0,4.3620765836240425,22,41,202.18661409962468,0.0,False,-0.458
cell-025-029,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,7.262601852416992,0.7951023578643799,2.0,4.83340813422984,21,14,118.84393294232854,0.0,False,-0.415
cell-026-010,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.564984321594238,7.0411553382873535,3.0,3.3998451814536987,23,63,166.8862820924757,0.0,True,-0.524
cell-026-011,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.6533257961273193,0.6496039628982544,2.0,4.945868053719743,24,94,158.41637281887233,0.0,True,-0.647
cell-026-012,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,4.016288757324219,5.690500736236572,3.0,3.596794208782587,22,25,134.91873805560158,0.0,True,-0.624
cell-026-013,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.1765811443328857,1.1878818273544312,14.0,6.190389742561962,23,55,43.16802784353415,0.0,True,-0.678
cell-026-014,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.4611724317073822,1.5288878679275513,2.0,4.40385072700085,21,13,0.0,0.0,True,-0.853
cell-026-015,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,1.4634690284729004,1.4263652563095093,9.0,5.6578560420671185,21,9,0.0,0.0,True,-0.788
cell-026-016,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.622257947921753,5.3331475257873535,1.0,2.962774050064645,21,9,53.1378495260841,0.0,True,-0.649
cell-026-017,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,1.519469141960144,4.0369181632995605,5.0,4.310334590257373,21,12,123.92971168272197,0.0,True,-0.784
cell-026-018,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,4.34844970703125,11.912625312805176,1.0,2.2029062430700805,21,4,87.74036018497522,0.0,True,-0.602
cell-026-019,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,1.5663235187530518,3.625063896179199,1.0,3.3056073755312325,22,21,70.38238598406315,0.0,True,-0.781
cell-026-020,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.952729225158691,12.664657592773438,1.0,2.1425447327195837,21,11,78.32075801816175,0.0,True,-0.499
cell-026-021,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,0.5511313676834106,0.7029620409011841,3.0,5.190826322601876,21,15,140.88532558312352,0.0,True,-0.847
cell-026-022,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,4.202761173248291,0.5736098885536194,1.0,4.604584577942267,21,13,173.9346271874383,0.0,True,-0.612
cell-026-023,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,3.135219097137451,1.7961130142211914,5.0,4.9772401909913935,22,21,176.79327913164943,0.0,True,-0.68
cell-026-024,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.751336574554443,0.24084120988845825,6.0,6.200177277023053,21,11,212.13749569070373,0.0,False,-0.448
cell-026-025,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.219959735870361,0.21648044884204865,1.0,4.977806553081645,21,10,277.5874400254734,0.0,False,-0.482
cell-026-026,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,8.533995628356934,5.407604217529297,2.0,3.355634009303955,21,1,359.3149824901103,0.0,False,-0.333
cell-026-027,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,5.816425323486328,3.042587995529175,19.0,5.757924860208303,21,3,294.3280159855494,0.0,False,-0.508
cell-026-028,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.160212516784668,1.6772212982177734,2.0,4.335616492691011,21,4,194.32801598554943,0.0,False,-0.486
cell-026-029,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,6.040158748626709,2.483996629714966,5.0,4.722057991913949,23,68,94.32801598554943,0.0,False,-0.493
cell-027-009,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,11.990910530090332,9.247023582458496,1.0,2.4487269620466487,22,46,298.77531150505956,0.0,False,-0.11
cell-027-010,0,0,1.0,DFO_3625_From_20100310_to_20100324,Heavy Rain Snowmelt Dam B,1,4.605469703674316,2.57346510887146,7.0,4.980852076181905,24,81,264.3514506436263,0.0,True,-0.586
